model,all_table_keys,meta_values,score,params
RFC,False,True,0.9097222222222221,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'oob_score': True}"
LR,False,True,0.8851851851851853,"{'C': 10, 'class_weight': 'balanced', 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
GBC,False,True,0.9083333333333334,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.7}"
RFC,True,True,0.9333333333333333,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'oob_score': True}"
LR,True,True,0.9078703703703704,"{'C': 10, 'class_weight': None, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}"
GBC,True,True,0.9305555555555556,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}"
RFC,False,False,0.912962962962963,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'oob_score': True}"
LR,False,False,0.8861111111111111,"{'C': 1, 'class_weight': None, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}"
GBC,False,False,0.9083333333333332,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}"
RFC,True,False,0.9361111111111111,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'oob_score': True}"
LR,True,False,0.9069444444444444,"{'C': 10, 'class_weight': None, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
GBC,True,False,0.9356481481481481,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}"
